isbn,name,author,stock,publisher,,price,borroweCount,type
,永生或猝死,間章/灰野敬二/坂本龍一/浅川マキ/大友良英/副岛辉人/村上龍/若松孝二/梅津和时/等/脑震荡/镇痛艺术┣▇▇▇═—,2,赋格,2014-03-31 00:00:00,50.00 ,0,2
,约翰.克利斯朵夫(上、下),罗曼.罗兰(法)/傅雷,2,人民文学出版社,1997-11-01 00:00:00,78.00 ,0,2
,混音指南,[英]伊扎基(RoeyIzhaki)/雷伟,1,人民邮电出版社,2010-11-01 00:00:00,150.00 ,0,2
,牛津简明音乐词典,（英）肯尼迪/唐其竞,2,人民音乐出版社,2002-09-01 00:00:00,160.00 ,0,2
,律学,缪天瑞,1,人民音乐出版社,1996-01-01 00:00:00,21.00 ,0,2
,遊藝黑白：世界鋼琴家訪問錄（上）,焦溥,1,聯經出版公司,2007-08-15 00:00:00,380.00 ,0,2
,Happy.Birth.ay,阿信,1,平裝本出版有限公司,1905-06-28 00:00:00,新台币380,0,2
,钢琴大师教学笔记,鲍利斯·贝尔曼/汤蓓华,2,上海音乐出版社,2012-05-01 00:00:00,58.00 ,0,2
,重金属节奏吉他教材,斯丹蒂纳/刘勇伟,2,湖南文艺出版社（文学类）,2004-01-01 00:00:00,50.00 ,0,2
,墓畔回忆录,夏多布里昂/程依荣,1,东方出版社,2005-06-01 00:00:00,248.00 ,0,2
,Just Kis,PattiSmith,1,Bloomsbury,2010-11-01 00:00:00,16.00 ,0,2
,约翰·克利斯朵夫（共四册）,罗曼·罗兰/傅雷,2,人民文学出版社,1957-01-01 00:00:00,4.30 ,0,2
,简明牛津音乐史,杰拉尔德·亚伯拉罕/顾犇,1,上海音乐出版社,1999-12-01 00:00:00,98.00 ,0,2
,拜厄钢琴基本教程,贺星编辑,1,人民音乐出版社,2000-08-01 00:00:00,22.00 ,0,2
,勋伯格和声学,阿诺德·勋伯格/罗忠镕,1,上海音乐,2007-08-01 00:00:00,28.00 ,0,2
,Girl in a Ban,KimGoron,1,eyStreetBooks,2015-02-24 00:00:00,27.99 ,0,2
,论钢琴表演艺术,[苏]Г.涅高兹/汪启璋/吴佩华,1,人民音乐出版社,1962-01-01 00:00:00,17.00 ,0,2
,貝多芬,TheoorW.Aorno/彭淮棟,2,聯經出版事業股份有限公司,2009-03-24 00:00:00,TW380,0,2
,约翰·汤普森简易钢琴教程(1),约翰?汤普森/周永达,1,上海音乐出版社,2005-06-01 00:00:00,10.00 ,0,2
,来自民间的叛逆 (上下册),袁越,1,现代出版社,2003-07-01 00:00:00,40.00 ,0,2
,What to Listen for in Music,AaronCoplan,1,SIGNETCLASSICS,2011-02-01 00:00:00,39.55 ,0,2
,铃木小提琴教材,铃木镇一编/魏然,2,人民音乐,2003-01-01 00:00:00,36.00 ,0,2
,Just Kis,PattiSmith,2,Ecco,2010-01-01 00:00:00,27.00 ,0,2
,amien Rice,amienRice,1,WarnerBros.Publications,2005-01-21 00:00:00,21.95 ,0,2
,古筝,林玲主编,1,中国青年,1999-12-01 00:00:00,36.00 ,0,2
,听音乐（插图第6版）,罗杰·凯密恩（RogerKamien）/王美珠/洪崇焜/陈美鸾/杨湘玲,2,世界图书出版公司,2008-06-01 00:00:00,78.00 ,0,2
,约翰·克里斯托夫,罗曼?罗兰/袁俊生汪秀华,2,北京燕山出版社,2000年,55.00 ,0,2
,穿越火焰,（美）卢?里德（LouRee）著/董楠,1,南京大学出版社,2014-05-01 00:00:00,150.00 ,0,2
,有生之年非听不可的1001张唱片,罗伯特?迪默里/Robertimery/张阅/邵逸,2,中央编译出版社,2013-08-01 00:00:00,228.00 ,0,2
,琴道,(荷兰)高罗佩/王建欣,2,中西书局,2013-09-01 00:00:00,45.00 ,0,2
,弹指之间,潘尚文,2,吉林音像出版社,2007-05-01 00:00:00,46.00 ,0,2
,钢琴师,(波)瓦迪斯瓦夫.什皮尔曼,2,人民文学出版社,2004-01-01 00:00:00,12.00 ,0,2
,怎样唱好周杰伦歌曲（标准级）,本社,1,北京环球音像出版社,2005-09-01 00:00:00,29.90 ,0,2
,吉他弹唱许巍全集,王迪平,2,上海音乐学院出版社,2010-05-01 00:00:00,29.80 ,0,2
,约翰?汤普森简易钢琴教程(2),汤普森/同永达,2,上海音乐出版社,1995-10-01 00:00:00,13.00 ,0,2
,间奏：余华的音乐笔记,余华,2,江苏文艺出版社,2013-09-01 00:00:00,26.00 ,0,2
,中国古代音乐史稿上、下册,杨荫浏,1,人民音乐出版社,1981-02-01 00:00:00,82.00 ,0,2
,音乐史学原理,卡尔·达尔豪斯/Carlarlhaus/杨燕迪,1,上海音乐学院出版社,1905-06-28 00:00:00,26.00 ,0,2
,地下鄉愁藍調,馬世芳,2,時報文化出版企業股份有限公司,#VALUE!,280.00 ,0,2
,GEB——一条永恒的金带,乐秀成编译,2,四川人民出版社,1984-06-01 00:00:00,1.07 ,0,2
,指弹吉他完整教程,卢家宏,2,吉林音像,2008-01-01 00:00:00,42.00 ,0,2
,樂之本事,焦溥,2,聯經出版,2014-09-19 00:00:00,550.00 ,0,2
,作曲基本原理,[奥]阿诺德·勋伯格/吴佩华,1,上海音乐出版社,2005-10-01 00:00:00,18.00 ,0,2
,伟大指挥家,[美]哈罗尔德·C·勋伯格/盛韵,1,生活·读书·新知三联书店,2011-03-01 00:00:00,38.00 ,0,2
,滚吧，生活,〔英〕基思?理查兹/〔英〕詹姆斯?福克斯/董楠,2,新星出版社,2013-05-01 00:00:00,59.50 ,0,2
